Epochs,TrainBox,TrainObject,TrainClass,Precision,Recall,mAP(0.5),mAP(0.5-0.95),ValBox,ValObj,ValClass
0,0.10928,0.13501,0.054355,0.31544,0.11188,0.021946,0.0053793,0.091055,0.25344,0.046016
1,0.085618,0.13924,0.034277,0.48592,0.15963,0.060744,0.01528,0.085516,0.13575,0.024476
2,0.08146,0.13523,0.023865,0.55071,0.31983,0.18059,0.048955,0.082024,0.12801,0.016052
3,0.070449,0.1398,0.017785,0.65555,0.36537,0.2616,0.088729,0.06235,0.13618,0.011334
4,0.060063,0.13669,0.013444,0.71739,0.38324,0.31519,0.095051,0.056911,0.14103,0.0097307
5,0.055711,0.13281,0.011641,0.79853,0.44137,0.42841,0.18874,0.048648,0.13499,0.010169
6,0.053666,0.13835,0.01132,0.79857,0.44907,0.4305,0.20117,0.045478,0.13079,0.008458
7,0.049747,0.13134,0.010484,0.85497,0.465,0.47724,0.22059,0.045291,0.12894,0.0079858
8,0.049673,0.13012,0.010065,0.83769,0.44498,0.47674,0.23374,0.044199,0.12544,0.0080682
9,0.04816,0.12637,0.0098341,0.86172,0.47165,0.51046,0.26156,0.041543,0.128,0.0076384
10,0.047581,0.12727,0.0093673,0.87383,0.45109,0.53149,0.26016,0.043641,0.12366,0.0075133
11,0.04636,0.12916,0.0090538,0.68003,0.56462,0.52294,0.27084,0.041123,0.12795,0.0074244
12,0.046324,0.12443,0.0084707,0.75075,0.54924,0.5238,0.2456,0.045824,0.12537,0.0070265
13,0.046391,0.12565,0.0082214,0.80982,0.55273,0.54749,0.28295,0.040051,0.1248,0.0067754
14,0.04344,0.12246,0.007821,0.80947,0.50963,0.54225,0.26955,0.041898,0.13091,0.0069545
15,0.044985,0.12408,0.0077364,0.80719,0.55572,0.55204,0.27656,0.041405,0.12554,0.0064049
16,0.044351,0.12718,0.007466,0.82008,0.56059,0.5554,0.28088,0.041305,0.12607,0.0066908
17,0.043875,0.12444,0.0067948,0.82078,0.53816,0.55156,0.30058,0.039481,0.12645,0.0060662
18,0.043713,0.12203,0.0067904,0.80945,0.52449,0.54483,0.26136,0.044249,0.12852,0.0062089
19,0.042921,0.11929,0.0067073,0.8314,0.51517,0.54678,0.23773,0.046236,0.12544,0.005888
20,0.043162,0.11596,0.0067847,0.81624,0.53585,0.54959,0.28744,0.040891,0.12761,0.0059821
21,0.043056,0.12278,0.0064743,0.82311,0.53774,0.54707,0.28917,0.040132,0.12957,0.0058703
22,0.04173,0.11761,0.0062708,0.82655,0.54675,0.55324,0.29452,0.040004,0.12638,0.0058744
23,0.042302,0.11805,0.005861,0.83771,0.54009,0.55841,0.30221,0.039088,0.12633,0.0058461
24,0.041737,0.11739,0.0064608,0.82787,0.52274,0.54591,0.27823,0.040507,0.12804,0.0058392
25,0.041885,0.11953,0.0061511,0.83053,0.52108,0.54391,0.28822,0.039831,0.13081,0.0060657
26,0.043171,0.1176,0.0056682,0.81948,0.50659,0.5311,0.26335,0.041805,0.13252,0.0061207
27,0.042326,0.11778,0.0057591,0.81719,0.53418,0.54601,0.27245,0.042518,0.12948,0.0058828
28,0.043197,0.11941,0.0059773,0.83594,0.5116,0.54015,0.28943,0.039999,0.1318,0.0059935
29,0.041622,0.11625,0.0057094,0.81105,0.5226,0.53945,0.29083,0.039518,0.13038,0.0058555
30,0.040396,0.11346,0.0052317,0.79826,0.5304,0.53697,0.2791,0.040703,0.13276,0.0061085
31,0.040549,0.11515,0.0052182,0.817,0.50397,0.52759,0.28378,0.04004,0.13526,0.0061374
32,0.041639,0.11738,0.0054314,0.79995,0.55373,0.53773,0.27761,0.040199,0.13185,0.0061516
33,0.040763,0.1178,0.0053156,0.82323,0.51677,0.54153,0.29272,0.039244,0.13129,0.0058818
34,0.041066,0.1138,0.0052347,0.83076,0.52725,0.53757,0.29382,0.039239,0.13236,0.0058972
35,0.039678,0.11295,0.0054567,0.82531,0.51414,0.53379,0.27594,0.041426,0.13285,0.0058153
36,0.041146,0.11473,0.005133,0.80597,0.53466,0.54183,0.29267,0.03919,0.13118,0.0061002
37,0.039292,0.11467,0.0051759,0.81226,0.53347,0.54153,0.29345,0.039466,0.13217,0.0060065
38,0.039484,0.11489,0.0048207,0.83609,0.51302,0.53812,0.2821,0.040502,0.13748,0.0059718
39,0.038991,0.10954,0.005277,0.82807,0.51335,0.53591,0.29016,0.039596,0.13413,0.0062021
40,0.040409,0.11158,0.005081,0.81858,0.52096,0.53702,0.28298,0.040457,0.1375,0.0060584
41,0.040108,0.11356,0.0046784,0.82434,0.52149,0.53782,0.2912,0.039379,0.13639,0.0061198
